// 3D Dykes Data  from naudyd. You can try and use this format from digitized stuff as well
// each line represents an HOT-SPOT observation of a dyke
// Map Projection SUTM53/WGS84 
// optional fields are susc, sim, rms, length, mag az, mag incl, in the batch interface
Body,Easting,Northing,Elevation,Thickness,Height,Length,Strike,Dip,Susceptibility,Similarity,RMS_ERROR,Mag_Azimuth,Mag_inclination
Dyke5, 690337.77, 7334537.86, -188.8, 173.7,  5868, 100,  60.0, 60, 0.00190, 2.42, -1.0, 6.2, -62.8
Dyke5, 689418.10, 7333562.44, -310.9, 393.1,  1965, 100, 50.0, 48.0, 0.00020, 2.48, -1.0, 6.2, -62.8
Dyke5, 700122.57, 7348562.02, -308.8, 393.1,  1965, 100,  35.0, 73.2, 0.00020, 2.24, -1.0, 6.2, -62.8
Dyke5, 699046.24, 7346283.78,  -44.8, 131.6,   658, 100, 40.0, 65, 0.00009, 1.62, -1.0, 6.2, -62.8
Dyke5, 697880.21, 7344104.20, -390.7, 471.7,  2358, 100, 45.0, 56, 0.00036, 2.49, -1.0, 6.2, -62.8
Dyke5, 697368.95, 7343261.07,   -7.2,  91.4,   457, 100, 50.0, 50, 0.00003, 2.84, -1.0, 6.2, -62.8
Dyke5, 696176.01, 7341673.48, -305.9, 393.1,  1965, 100, 52.0, 67.7, 0.00421, 1.46, -1.0, 6.2, -62.8
Dyke5, 694830.59, 7340121.76,  -50.9, 131.6,   658, 100, 55.0, 55, 0.00019, 1.69, -1.0, 6.2, -62.8
Dyke4, 689583.47, 7350394.75, -187.7, 273.0,  1365, 100,  80.0, 40, 0.00022, 2.06, -1.0, 6.2, -62.8
Dyke4, 693048.00, 7352680.62, -105.6, 189.6,   948, 100, 80.0, 38, 0.00014, 1.82, -1.0, 6.2, -62.8
Dyke4, 698441.68, 7354430.11, -896.2, 978.1,  4890, 100, 80.0, 40, 0.00730, 2.12, -1.0, 6.2, -62.8
Dyke4, 704000.68, 7354300.11, -896.2, 200.1,  4890, 100, 90.0, 60, 0.00730, 2.12, -1.0, 6.2, -62.8
Dyke1, 693048.80, 7345751.66, -141.9, 227.5,  1137, 100,  70.0, 36.6, 0.00033, 2.61, -1.0, 6.2, -62.8
Dyke1, 695226.93, 7347286.97,  -28.6, 109.7,   548, 100, 70.0, 36.7, 0.00005, 2.09, -1.0, 6.2, -62.8
Dyke6, 692333.16, 7340143.98, -144.9, 227.5,  1137, 100,  5.0, 70.5, 0.00027, 2.59, -1.0, 6.2, -62.8
Dyke6, 692691.71, 7342286.55, -186.4, 173.7,  5868, 100, 10.0, 89.4, 0.00145, 2.80, -1.0, 6.2, -62.8
Dyke6, 693441.98, 7344465.37,  -27.3, 109.7,   548, 100, 10.0, 55.9, 0.00006, 2.46, -1.0, 6.2, -62.8
Dyke6, 693869.34, 7345929.86,  -50.8, 131.6,   658, 100, 10.0, 80.5, 0.00034, 1.54, -1.0, 6.2, -62.8
Dyke6, 692800.34, 7332100.86,  -50.8, 140.6,   658, 100, 10.0, 85.5, 0.00034, 1.54, -1.0, 6.2, -62.8
Dyke7, 692441.68, 7343357.90, -106.9,  60.0,   948, 100, 110.0, 70.4, 0.00006, 2.65, -1.0, 6.2, -62.8
Dyke7, 702834.58, 7344715.12,  -74.3,  55.0,   790, 100, 80.0, 80.0, -0.00008, 2.32, -1.0, 6.2, -62.8
